"filename", "language", "JavaScript", "JSON with Comments", "vue", "TypeScript", "JSON", "Markdown", "SQL", "Prisma", "comment", "blank", "total"
"e:\WebProjects\library\README.md", "Markdown", 0, 0, 0, 0, 0, 50, 0, 0, 0, 26, 76
"e:\WebProjects\library\app.config.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\WebProjects\library\app.vue", "vue", 0, 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"e:\WebProjects\library\components\AuthForm.vue", "vue", 0, 0, 66, 0, 0, 0, 0, 0, 0, 17, 83
"e:\WebProjects\library\components\BookCard.vue", "vue", 0, 0, 47, 0, 0, 0, 0, 0, 4, 6, 57
"e:\WebProjects\library\components\CustomMarker.vue", "vue", 0, 0, 48, 0, 0, 0, 0, 0, 2, 8, 58
"e:\WebProjects\library\components\Header\Index.vue", "vue", 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"e:\WebProjects\library\components\Header\Tab.vue", "vue", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"e:\WebProjects\library\components\HomePageSearchBar.vue", "vue", 0, 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"e:\WebProjects\library\components\LatestBooks.vue", "vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"e:\WebProjects\library\components\LibraryBookCard.vue", "vue", 0, 0, 33, 0, 0, 0, 0, 0, 0, 9, 42
"e:\WebProjects\library\components\RegisterForm.vue", "vue", 0, 0, 104, 0, 0, 0, 0, 0, 0, 13, 117
"e:\WebProjects\library\components\SearchedBooks.vue", "vue", 0, 0, 21, 0, 0, 0, 0, 0, 2, 5, 28
"e:\WebProjects\library\components\YandexMap.vue", "vue", 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"e:\WebProjects\library\components\admin\AddAuthor.vue", "vue", 0, 0, 62, 0, 0, 0, 0, 0, 0, 6, 68
"e:\WebProjects\library\components\admin\AddBook.vue", "vue", 0, 0, 207, 0, 0, 0, 0, 0, 8, 19, 234
"e:\WebProjects\library\components\admin\AddLibraryBook.vue", "vue", 0, 0, 151, 0, 0, 0, 0, 0, 11, 26, 188
"e:\WebProjects\library\components\admin\AddPublisher.vue", "vue", 0, 0, 59, 0, 0, 0, 0, 0, 0, 8, 67
"e:\WebProjects\library\components\admin\GiveBook.vue", "vue", 0, 0, 78, 0, 0, 0, 0, 0, 21, 15, 114
"e:\WebProjects\library\composables\useAuth.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 2, 23, 154
"e:\WebProjects\library\composables\useAuthors.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\WebProjects\library\composables\useBooks.js", "JavaScript", 200, 0, 0, 0, 0, 0, 0, 0, 1, 27, 228
"e:\WebProjects\library\composables\useFetchApi.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\WebProjects\library\composables\useLibrary.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"e:\WebProjects\library\composables\usePublishers.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\WebProjects\library\nuxt.config.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 1, 0, 27
"e:\WebProjects\library\package-lock.json", "JSON", 0, 0, 0, 0, 13335, 0, 0, 0, 0, 1, 13336
"e:\WebProjects\library\package.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"e:\WebProjects\library\pages\Account\index.vue", "vue", 0, 0, 163, 0, 0, 0, 0, 0, 1, 32, 196
"e:\WebProjects\library\pages\AuthPage.vue", "vue", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"e:\WebProjects\library\pages\Book\[id].vue", "vue", 0, 0, 161, 0, 0, 0, 0, 0, 17, 20, 198
"e:\WebProjects\library\pages\Libraries.vue", "vue", 0, 0, 39, 0, 0, 0, 0, 0, 0, 12, 51
"e:\WebProjects\library\pages\Register.vue", "vue", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\WebProjects\library\pages\Search.vue", "vue", 0, 0, 43, 0, 0, 0, 0, 0, 2, 15, 60
"e:\WebProjects\library\pages\admin\Order\[id].vue", "vue", 0, 0, 123, 0, 0, 0, 0, 0, 4, 18, 145
"e:\WebProjects\library\pages\admin\index.vue", "vue", 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 85
"e:\WebProjects\library\pages\index.vue", "vue", 0, 0, 21, 0, 0, 0, 0, 0, 2, 10, 33
"e:\WebProjects\library\prisma\migrations\20240507164100_add_model_users\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 12, 0, 2, 3, 17
"e:\WebProjects\library\prisma\migrations\20240507170922_add_books_model\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 9, 0, 1, 2, 12
"e:\WebProjects\library\prisma\migrations\20240509091622_new_models\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 38, 0, 21, 16, 75
"e:\WebProjects\library\prisma\migrations\20240509135435_lb_model_update\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 8, 0, 12, 6, 26
"e:\WebProjects\library\prisma\migrations\20240512203909_books_library_books_relation_changed_to_one_to_many\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"e:\WebProjects\library\prisma\migrations\20240514015152_lb_and_books_new_fields\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 6, 0, 2, 2, 10
"e:\WebProjects\library\prisma\migrations\20240519021657_user_model_changed\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 3, 0, 9, 1, 13
"e:\WebProjects\library\prisma\migrations\20240519022653_users_model_changed\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 7, 1, 9
"e:\WebProjects\library\prisma\migrations\20240519023956_refresh_token_model\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 10, 0, 3, 4, 17
"e:\WebProjects\library\prisma\migrations\20240519223953_users_admin_field_add\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 7, 1, 9
"e:\WebProjects\library\prisma\migrations\20240522004008_booked_books\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 14, 0, 12, 6, 32
"e:\WebProjects\library\prisma\migrations\20240522012818_fix\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 8, 1, 11
"e:\WebProjects\library\prisma\migrations\20240522013354_fix2\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 10, 0, 17, 7, 34
"e:\WebProjects\library\prisma\migrations\20240522014033_fix3\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"e:\WebProjects\library\prisma\migrations\20240522033331_order_code\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 7, 1, 9
"e:\WebProjects\library\prisma\migrations\20240523194125_libs_coords\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 8, 1, 11
"e:\WebProjects\library\prisma\migrations\20240528004127_timezones\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4
"e:\WebProjects\library\prisma\migrations\20240528004655_timestamp\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4
"e:\WebProjects\library\prisma\migrations\20240528004722_timestamp\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4
"e:\WebProjects\library\prisma\migrations\20240528020935_timestamps_receivedat_returnedat_etc\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 4, 0, 1, 1, 6
"e:\WebProjects\library\prisma\migrations\20240528040811_booked_due_date\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 3, 0, 8, 1, 12
"e:\WebProjects\library\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 91, 4, 35, 130
"e:\WebProjects\library\server\api\auth\login.post.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 11, 16, 69
"e:\WebProjects\library\server\api\auth\logout.post.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\WebProjects\library\server\api\auth\refresh.get.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 14, 47
"e:\WebProjects\library\server\api\auth\register.post.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 3, 9, 52
"e:\WebProjects\library\server\api\auth\user.get.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"e:\WebProjects\library\server\api\authors\index.get.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"e:\WebProjects\library\server\api\authors\index.post.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"e:\WebProjects\library\server\api\bookedBooks\[id].get.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"e:\WebProjects\library\server\api\bookedBooks\index.delete.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 7, 23
"e:\WebProjects\library\server\api\bookedBooks\index.get.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"e:\WebProjects\library\server\api\bookedBooks\index.post.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 13, 71
"e:\WebProjects\library\server\api\bookedBooks\index.put.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"e:\WebProjects\library\server\api\books\[id].get.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 8, 38
"e:\WebProjects\library\server\api\books\index.get.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"e:\WebProjects\library\server\api\books\index.post.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 4, 10, 47
"e:\WebProjects\library\server\api\libraryBook\getLibBooks.get.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 8, 37
"e:\WebProjects\library\server\api\libraryBook\index.put.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"e:\WebProjects\library\server\api\libraryBook\postLibBook.post.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 14, 11, 49
"e:\WebProjects\library\server\api\library\index.get.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"e:\WebProjects\library\server\api\library\index.post.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"e:\WebProjects\library\server\api\publishers\index.get.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"e:\WebProjects\library\server\api\publishers\index.post.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"e:\WebProjects\library\server\api\transformers\book.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"e:\WebProjects\library\server\api\transformers\library.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\WebProjects\library\server\api\transformers\libraryBook.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"e:\WebProjects\library\server\api\transformers\user.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\WebProjects\library\server\cron\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\WebProjects\library\server\cron\removeExpiredBookings.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 15, 7, 57
"e:\WebProjects\library\server\db\author.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\WebProjects\library\server\db\book.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 0, 9, 14, 115
"e:\WebProjects\library\server\db\booking.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"e:\WebProjects\library\server\db\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\WebProjects\library\server\db\library.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"e:\WebProjects\library\server\db\publisher.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\WebProjects\library\server\db\refreshTokens.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"e:\WebProjects\library\server\db\users.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"e:\WebProjects\library\server\init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\WebProjects\library\server\middleware\auth.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 13, 45
"e:\WebProjects\library\server\tsconfig.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\WebProjects\library\server\utils\jwt.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"e:\WebProjects\library\tailwind.config.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 1, 8, 51
"e:\WebProjects\library\tsconfig.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"Total", "-", 1442, 6, 1658, 32, 13376, 50, 132, 91, 278, 738, 17803